# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  --cpu 16 -i GUT_GENOME000001/roary_90/pan_genome_reference.faa -m diamond -o funcs_annotation_eggNOG --output_dir GUT_GENOME000001/roary_90 --temp_dir GUT_GENOME000001/roary_90
# time: Sun Apr 28 01:15:45 2019
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GUT_GENOME000001_00011	500633.CLOHIR_00681	5.1e-150	535.8	PFKA	GO:0000166,GO:0000287,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003872,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005945,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006091,GO:0006096,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008443,GO:0009056,GO:0009987,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019001,GO:0019003,GO:0019200,GO:0019318,GO:0019320,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0032991,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043234,GO:0044237,GO:0044238,GO:0044262,GO:0044275,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044723,GO:0044724,GO:0046365,GO:0046835,GO:0046872,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901575	K00850	PFK,PFK_2,PFK_3	bactNOG[38]	05CTQ@bactNOG,0EP5S@cloNOG,0NDK9@firmNOG,COG0205@NOG	NA|NA|NA	G	phosphohexokinase
GUT_GENOME000001_00012	272563.CD3394	2.2e-284	983.0	PYK	GO:0003674,GO:0003824,GO:0004743,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006091,GO:0006096,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016020,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019318,GO:0019320,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044723,GO:0044724,GO:0046365,GO:0071704,GO:1901575	K00873	PYK	bactNOG[38]	05CA9@bactNOG,0ENXC@cloNOG,0NDN8@firmNOG,COG0469@NOG,COG3848@NOG	NA|NA|NA	G	Pyruvate kinase
GUT_GENOME000001_00013	445973.CLOBAR_00287	4.6e-233	812.4	TNAT		K03308		bactNOG[38]	05C8J@bactNOG,0EPMX@cloNOG,0NEIH@firmNOG,COG0733@NOG	NA|NA|NA	P	Transporter
GUT_GENOME000001_00015	445973.CLOBAR_00288	8.8e-59	232.3					bactNOG[38]	062F3@bactNOG,0EW1Q@cloNOG,0NQBJ@firmNOG,12BMK@NOG	NA|NA|NA		
GUT_GENOME000001_00016	445973.CLOBAR_00289	1.9e-230	803.5	RLMD	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016436,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051536,GO:0051539,GO:0051540,GO:0070041,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:1901360	K00557,K03212,K03215		bactNOG[38]	05BZT@bactNOG,0ENV5@cloNOG,0ND5E@firmNOG,COG2265@NOG	NA|NA|NA	J	23S rRNA (uracil-5-)-methyltransferase RumA
GUT_GENOME000001_00017	272563.CD3319	4.5e-131	473.0			K07027		bactNOG[38]	08KWJ@bactNOG,0NGKT@firmNOG,COG0392@NOG	NA|NA|NA	S	integral membrane protein
GUT_GENOME000001_00018	272563.CD3317	5.6e-69	265.4	NARB	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0006082,GO:0006091,GO:0008150,GO:0008152,GO:0009326,GO:0009987,GO:0015942,GO:0015944,GO:0015980,GO:0016020,GO:0016491,GO:0016651,GO:0019752,GO:0030151,GO:0032787,GO:0032991,GO:0043167,GO:0043169,GO:0043234,GO:0043436,GO:0044237,GO:0044281,GO:0044464,GO:0044710,GO:0045333,GO:0046872,GO:0046914,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704	K00123,K00367,K05299	FDH2,FDH7,NAR_syn	bactNOG[38]	07QIW@bactNOG,0ENWV@cloNOG,0P2H4@firmNOG,COG0243@NOG	NA|NA|NA	C	Formate dehydrogenase alpha subunit
GUT_GENOME000001_00019	445973.CLOBAR_00271	3.4e-274	949.1	NARB	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0006082,GO:0006091,GO:0008150,GO:0008152,GO:0009326,GO:0009987,GO:0015942,GO:0015944,GO:0015980,GO:0016020,GO:0016491,GO:0016651,GO:0019752,GO:0030151,GO:0032787,GO:0032991,GO:0043167,GO:0043169,GO:0043234,GO:0043436,GO:0044237,GO:0044281,GO:0044464,GO:0044710,GO:0045333,GO:0046872,GO:0046914,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704	K00123,K00367,K05299	FDH2,FDH7,NAR_syn	bactNOG[38]	07QIW@bactNOG,0ENWV@cloNOG,0P2H4@firmNOG,COG0243@NOG	NA|NA|NA	C	Formate dehydrogenase alpha subunit
GUT_GENOME000001_00020	272563.CD3316	4.4e-67	260.0	FDHD	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0008863,GO:0009061,GO:0009326,GO:0009987,GO:0015980,GO:0016491,GO:0016620,GO:0016903,GO:0032991,GO:0043234,GO:0044237,GO:0044424,GO:0044464,GO:0044710,GO:0045333,GO:0055114	K02379	FDH	bactNOG[38]	07H9G@bactNOG,0ERTP@cloNOG,0NFHX@firmNOG,COG1526@NOG	NA|NA|NA	C	Necessary for formate dehydrogenase activity (By similarity)
GUT_GENOME000001_00021	445973.CLOBAR_00270	3.7e-84	316.2	HYDN2		K00196,K05796	HYDFDN,HYDFDN2r	bactNOG[38]	081SR@bactNOG,0ETNF@cloNOG,0NJWM@firmNOG,COG1142@NOG	NA|NA|NA	C	4Fe-4S ferredoxin, iron-sulfur binding
GUT_GENOME000001_00022	272563.CD3314	4.4e-219	765.8	HYDA		K00336,K00532,K18332	HYDFDN,HYDFDN2r	bactNOG[38]	07QHI@bactNOG,0ENVM@cloNOG,0ND6I@firmNOG,COG4624@NOG	NA|NA|NA	C	-hydrogenase
GUT_GENOME000001_00023	272563.CD3313	8.5e-67	258.5			K00196,K05796		bactNOG[38]	081SR@bactNOG,0EU7Q@cloNOG,0NJWM@firmNOG,COG1142@NOG	NA|NA|NA	C	4Fe-4S ferredoxin, iron-sulfur binding
GUT_GENOME000001_00024	272563.CD3311	6.3e-44	182.2					bactNOG[38]	06910@bactNOG,0EXR2@cloNOG,0NRRT@firmNOG,0XXDU@NOG	NA|NA|NA		
GUT_GENOME000001_00025	720554.Clocl_2532	9e-282	974.5	LIGA	GO:0000287,GO:0003674,GO:0003824,GO:0003909,GO:0003911,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006266,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016874,GO:0016886,GO:0030312,GO:0033554,GO:0034641,GO:0034645,GO:0040007,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0046872,GO:0050896,GO:0051716,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901576	K01972	NADDP	bactNOG[38]	05C77@bactNOG,0ENY3@cloNOG,0NDDG@firmNOG,COG0272@NOG	NA|NA|NA	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)
GUT_GENOME000001_00026	445973.CLOBAR_00299	1.3e-212	744.2	RPH	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004540,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006364,GO:0006396,GO:0006399,GO:0006401,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009022,GO:0009056,GO:0009057,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016072,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0019439,GO:0022613,GO:0031123,GO:0031125,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0042254,GO:0042780,GO:0043170,GO:0043628,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0090305,GO:1901360,GO:1901361,GO:1901575	K00989,K02428		bactNOG[38]	05ED0@bactNOG,0EPET@cloNOG,0NDB1@firmNOG,COG0127@NOG,COG0689@NOG	NA|NA|NA	J	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates (By similarity)
GUT_GENOME000001_00027	272563.CD3307	4e-55	219.5	YSNB		K07095		bactNOG[38]	05M59@bactNOG,0EVRV@cloNOG,0NMF5@firmNOG,COG0622@NOG	NA|NA|NA	S	phosphodiesterase, mj0936 family
GUT_GENOME000001_00028	272563.CD3306	9.2e-195	684.9	TIG	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006461,GO:0006464,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009605,GO:0009636,GO:0009987,GO:0009991,GO:0016020,GO:0016043,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0022607,GO:0030312,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0036211,GO:0042221,GO:0042594,GO:0043021,GO:0043022,GO:0043170,GO:0043412,GO:0043933,GO:0044085,GO:0044183,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0046677,GO:0050896,GO:0051083,GO:0051716,GO:0065003,GO:0070271,GO:0071496,GO:0071704,GO:0071822,GO:0071840,GO:0071944	K01802,K03545		bactNOG[38]	05DEA@bactNOG,0ENSC@cloNOG,0NDK4@firmNOG,COG0544@NOG	NA|NA|NA	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation
GUT_GENOME000001_00029	596329.HMPREF0631_0110	5.5e-86	322.4	CLPP	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K01358		bactNOG[38]	05CCQ@bactNOG,0EP6A@cloNOG,0NECV@firmNOG,COG0740@NOG	NA|NA|NA	O	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
GUT_GENOME000001_00030	596315.HMPREF0634_1494	5.2e-179	632.5	CLPX	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005623,GO:0006508,GO:0008150,GO:0008152,GO:0008233,GO:0016787,GO:0017076,GO:0019538,GO:0030312,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0040007,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901265,GO:1901363	K03544		bactNOG[38]	05CHN@bactNOG,0ENZM@cloNOG,0NE2P@firmNOG,COG1219@NOG	NA|NA|NA	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)
GUT_GENOME000001_00031	272563.CD3301	0.0	1302.7	LON	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K01338		bactNOG[38]	05C6P@bactNOG,0EPG4@cloNOG,0NDWW@firmNOG,COG0466@NOG	NA|NA|NA	O	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner (By similarity)
GUT_GENOME000001_00032	445973.CLOBAR_00305	2.4e-100	370.2	ENGB	GO:0000910,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0007049,GO:0008150,GO:0009987,GO:0022402,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0051301	K03978		bactNOG[38]	05WHM@bactNOG,0ESDG@cloNOG,0NE4Q@firmNOG,COG0218@NOG	NA|NA|NA	S	Necessary for normal cell division and for the maintenance of normal septation (By similarity)
GUT_GENOME000001_00033	272563.CD2465	4.6e-157	559.7	YKBA		K03294	PTRCORNt7	bactNOG[38]	07R7I@bactNOG,0EQE0@cloNOG,0NE50@firmNOG,COG0531@NOG	NA|NA|NA	E	amino acid
GUT_GENOME000001_00034	272563.CD3298	1.3e-141	508.1					bactNOG[38]	05DRZ@bactNOG,0ENSW@cloNOG,0ND9I@firmNOG,0XNPE@NOG	NA|NA|NA		
GUT_GENOME000001_00035	272563.CD3297	4.2e-74	283.1					bactNOG[38]	085EX@bactNOG,0EWSH@cloNOG,0NQQE@firmNOG,129UE@NOG	NA|NA|NA	S	Bacterial protein of unknown function (DUF881)
GUT_GENOME000001_00036	272563.CD3296	1.5e-165	587.8	GSPE		K02243,K02454,K02505,K02652		bactNOG[38]	07QHF@bactNOG,0EPFV@cloNOG,0NDWJ@firmNOG,COG2804@NOG	NA|NA|NA	U	type ii secretion system protein e
GUT_GENOME000001_00037	272563.CD3295	3.5e-100	370.5	GSPF	GO:0005575,GO:0016020	K02455,K02653		bactNOG[38]	05D7Q@bactNOG,0EP5V@cloNOG,0NDKA@firmNOG,COG1459@NOG	NA|NA|NA	U	type ii secretion system
GUT_GENOME000001_00038	500633.CLOHIR_00715	4.7e-22	109.4					bactNOG[38]	06UCR@bactNOG,0F0SQ@cloNOG,0NWBH@firmNOG,0YN6P@NOG	NA|NA|NA	U	Prokaryotic N-terminal methylation motif
GUT_GENOME000001_00039	272563.CD3293	1.8e-47	194.9			K02662		NOG[107]	0XYSD@NOG	NA|NA|NA	S	Tfp pilus assembly protein ATPase PilM-like protein
GUT_GENOME000001_00042	272563.CD3290	1.7e-135	487.6	YCCF		K07039		bactNOG[38]	08UWY@bactNOG,0ESYJ@cloNOG,0P0WQ@firmNOG,COG3318@NOG	NA|NA|NA	S	Inherit from COG: Yeca family
GUT_GENOME000001_00043	272563.CD3289	7.6e-49	198.4					bactNOG[38]	06VFK@bactNOG,0F0SZ@cloNOG,0NWGU@firmNOG,0YPSS@NOG	NA|NA|NA		
GUT_GENOME000001_00045	445973.CLOBAR_00317	3.3e-242	842.8			K07137		bactNOG[38]	05DZ0@bactNOG,0EPDK@cloNOG,0NDX1@firmNOG,COG2509@NOG	NA|NA|NA	S	fad dependent oxidoreductase
GUT_GENOME000001_00046	272563.CD3286	2e-239	833.6			K03324	PIt7ipp	bactNOG[38]	05EAM@bactNOG,0ENSG@cloNOG,0ND95@firmNOG,COG1283@NOG	NA|NA|NA	P	Na Pi-cotransporter
GUT_GENOME000001_00047	272563.CD3285	1.3e-215	754.2	PGI	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K01810,K13810	PGI	bactNOG[38]	07QYV@bactNOG,0EPQT@cloNOG,0NDSD@firmNOG,COG0166@NOG	NA|NA|NA	G	Phosphohexose isomerase
GUT_GENOME000001_00048	272563.CD3284	5.1e-146	522.7	HTRA		K04771		bactNOG[38]	05C0H@bactNOG,0EP64@cloNOG,0NEX0@firmNOG,COG0265@NOG	NA|NA|NA	M	peptidase S1 and S6, chymotrypsin Hap
GUT_GENOME000001_00049	272563.CD3274	6.1e-283	978.4	FEOB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K04759	FE2abc	bactNOG[38]	05CE1@bactNOG,0EPPE@cloNOG,0NDHS@firmNOG,COG0370@NOG	NA|NA|NA	P	Ferrous iron transport protein b
GUT_GENOME000001_00050	500633.CLOHIR_00731	6.9e-26	121.3	FEOA		K04758	FE2abc	bactNOG[38]	05VWF@bactNOG,0EVIW@cloNOG,0NNI9@firmNOG,COG1918@NOG	NA|NA|NA	P	Ferrous iron transport protein A
GUT_GENOME000001_00051	272563.CD3272	2.7e-65	253.4	YNHI		K00805		bactNOG[38]	05NI6@bactNOG,0EUF0@cloNOG,0NM0I@firmNOG,COG4769@NOG	NA|NA|NA	S	heptaprenyl diphosphate synthase component I
GUT_GENOME000001_00053	264732.Moth_0082	3e-45	187.6	MSCS	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K03442		bactNOG[38]	05D8X@bactNOG,0F4W7@cloNOG,0P367@firmNOG,COG0668@NOG	NA|NA|NA	M	mechanosensitive ion channel
GUT_GENOME000001_00054	445973.CLOBAR_00327	2.4e-38	163.7	MGTC		K07507		bactNOG[38]	05KT7@bactNOG,0ESTI@cloNOG,0NI2D@firmNOG,COG1285@NOG	NA|NA|NA	S	MgtC SapB transporter
GUT_GENOME000001_00055	272563.CD3269	1.8e-273	946.8	PEPF	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K08602		bactNOG[38]	05DPN@bactNOG,0EQ2B@cloNOG,0NE0J@firmNOG,COG1164@NOG	NA|NA|NA	E	Oligoendopeptidase f
GUT_GENOME000001_00056	702450.CUW_2578	1.9e-61	240.7			K07240		bactNOG[38]	05CAH@bactNOG,0I7C8@eryNOG,0NIS6@firmNOG,COG2059@NOG	NA|NA|NA	P	chromate transport protein
GUT_GENOME000001_00057	702450.CUW_2579	3.1e-62	243.4			K07240		bactNOG[38]	05FGV@bactNOG,0I7BZ@eryNOG,0NJRW@firmNOG,COG2059@NOG	NA|NA|NA	P	chromate transport protein
GUT_GENOME000001_00058	272563.CD3268	1.8e-106	391.0	PSTS		K02040		bactNOG[38]	05CVA@bactNOG,0ENNI@cloNOG,0ND7H@firmNOG,COG0226@NOG	NA|NA|NA	P	phosphate binding protein
GUT_GENOME000001_00059	272563.CD3263	1.8e-131	474.2	PSTC	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0008152,GO:0008509,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015075,GO:0015103,GO:0015114,GO:0015399,GO:0015405,GO:0015415,GO:0015698,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022891,GO:0022892,GO:0034220,GO:0034641,GO:0034655,GO:0035435,GO:0042278,GO:0042454,GO:0042623,GO:0042625,GO:0042626,GO:0043225,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K02037,K02038		bactNOG[38]	05C8U@bactNOG,0EP50@cloNOG,0ND6J@firmNOG,COG0573@NOG	NA|NA|NA	P	phosphate abc transporter
